,Abstract 1,Abstract 2,Abstract 3,Abstract 4,Abstract 5,Abstract 6,Abstract 7,Abstract 8,Abstract 9,Abstract 10
Abstract 1,-0.0,-0.0692,-0.0601,-0.0651,-0.061,-0.066,-0.0572,-0.0902,-0.0675,-0.0612
Abstract 2,-0.0692,-0.0,-0.0619,-0.0653,-0.0597,-0.0526,-0.0499,-0.0708,-0.0493,-0.0559
Abstract 3,-0.0601,-0.0619,-0.0,-0.0585,-0.06,-0.0589,-0.0517,-0.0854,-0.0659,-0.0608
Abstract 4,-0.0651,-0.0653,-0.0585,-0.0,-0.0545,-0.0598,-0.0473,-0.081,-0.0579,-0.0548
Abstract 5,-0.061,-0.0597,-0.06,-0.0545,-0.0,-0.0697,-0.0555,-0.0919,-0.0553,-0.049
Abstract 6,-0.066,-0.0526,-0.0589,-0.0598,-0.0697,-0.0,-0.0518,-0.0786,-0.0573,-0.0596
Abstract 7,-0.0572,-0.0499,-0.0517,-0.0473,-0.0555,-0.0518,-0.0,-0.0799,-0.0495,-0.0476
Abstract 8,-0.0902,-0.0708,-0.0854,-0.081,-0.0919,-0.0786,-0.0799,-0.0,-0.0871,-0.0849
Abstract 9,-0.0675,-0.0493,-0.0659,-0.0579,-0.0553,-0.0573,-0.0495,-0.0871,-0.0,-0.0518
Abstract 10,-0.0612,-0.0559,-0.0608,-0.0548,-0.049,-0.0596,-0.0476,-0.0849,-0.0518,-0.0
